,xyref,xgbound,dydx,dldp,xh,yh,ww
0,622.0075430404642,25,-1.1650267570596533,6417.885067261366,25,-0.8349021961288448,7029.568666603347
1,544.0556548474445,250,0.01320498243723234,24.465211048133188,26,-0.8216972136916125,7054.036010577026
2,,,,,27.0,-0.8084922312543801,7078.503354550705
3,,,,,28.0,-0.7952872488171479,7102.970698524385
4,,,,,29.0,-0.7820822663799154,7127.438042498064
5,,,,,30.0,-0.7688772839426832,7151.9053864717425
6,,,,,31.0,-0.7556723015054507,7176.372730445422
7,,,,,32.0,-0.7424673190682185,7200.840074419101
8,,,,,33.0,-0.729262336630986,7225.30741839278
9,,,,,34.0,-0.7160573541937538,7249.77476236646
10,,,,,35.0,-0.7028523717565214,7274.242106340139
11,,,,,36.0,-0.6896473893192892,7298.709450313818
12,,,,,37.0,-0.6764424068820567,7323.176794287498
13,,,,,38.0,-0.6632374244448244,7347.6441382611765
14,,,,,39.0,-0.650032442007592,7372.111482234855
15,,,,,40.0,-0.6368274595703597,7396.578826208535
16,,,,,41.0,-0.6236224771331274,7421.046170182214
17,,,,,42.0,-0.610417494695895,7445.513514155893
18,,,,,43.0,-0.5972125122586627,7469.980858129573
19,,,,,44.0,-0.5840075298214303,7494.448202103252
20,,,,,45.0,-0.570802547384198,7518.915546076931
21,,,,,46.0,-0.5575975649469657,7543.3828900506105
22,,,,,47.0,-0.5443925825097333,7567.850234024289
23,,,,,48.0,-0.531187600072501,7592.317577997968
24,,,,,49.0,-0.5179826176352686,7616.784921971648
25,,,,,50.0,-0.5047776351980363,7641.252265945327
26,,,,,51.0,-0.491572652760804,7665.719609919006
27,,,,,52.0,-0.47836767032357164,7690.186953892686
28,,,,,53.0,-0.4651626878863393,7714.654297866365
29,,,,,54.0,-0.45195770544910696,7739.121641840044
30,,,,,55.0,-0.4387527230118746,7763.588985813723
31,,,,,56.0,-0.4255477405746423,7788.056329787403
32,,,,,57.0,-0.41234275813740995,7812.523673761082
33,,,,,58.0,-0.3991377757001776,7836.991017734761
34,,,,,59.0,-0.3859327932629453,7861.458361708441
35,,,,,60.0,-0.37272781082571294,7885.92570568212
36,,,,,61.0,-0.3595228283884806,7910.393049655799
37,,,,,62.0,-0.34631784595124826,7934.8603936294785
38,,,,,63.0,-0.3331128635140159,7959.327737603157
39,,,,,64.0,-0.3199078810767836,7983.795081576836
40,,,,,65.0,-0.30670289863955125,8008.262425550516
41,,,,,66.0,-0.2934979162023189,8032.729769524195
42,,,,,67.0,-0.28029293376508657,8057.197113497874
43,,,,,68.0,-0.26708795132785423,8081.664457471554
44,,,,,69.0,-0.2538829688906219,8106.131801445233
45,,,,,70.0,-0.24067798645338956,8130.599145418912
46,,,,,71.0,-0.22747300401615722,8155.066489392591
47,,,,,72.0,-0.21426802157892488,8179.53383336627
48,,,,,73.0,-0.20106303914169255,8204.00117733995
49,,,,,74.0,-0.1878580567044602,8228.468521313629
50,,,,,75.0,-0.17465307426722787,8252.935865287307
51,,,,,76.0,-0.16144809182999542,8277.403209260987
52,,,,,77.0,-0.1482431093927632,8301.870553234667
53,,,,,78.0,-0.13503812695553075,8326.337897208345
54,,,,,79.0,-0.12183314451829852,8350.805241182024
55,,,,,80.0,-0.10862816208106607,8375.272585155704
56,,,,,81.0,-0.09542317964383384,8399.739929129384
57,,,,,82.0,-0.0822181972066014,8424.207273103062
58,,,,,83.0,-0.06901321476936917,8448.674617076742
59,,,,,84.0,-0.05580823233213672,8473.14196105042
60,,,,,85.0,-0.042603249894904494,8497.6093050241
61,,,,,86.0,-0.029398267457672045,8522.07664899778
62,,,,,87.0,-0.016193285020439818,8546.54399297146
63,,,,,88.0,-0.0029883025832073695,8571.011336945137
64,,,,,89.0,0.010216679854024857,8595.478680918817
65,,,,,90.0,0.023421662291257306,8619.946024892495
66,,,,,91.0,0.03662664472848953,8644.413368866175
67,,,,,92.0,0.04983162716572198,8668.880712839855
68,,,,,93.0,0.06303660960295421,8693.348056813535
69,,,,,94.0,0.07624159204018666,8717.815400787213
70,,,,,95.0,0.08944657447741888,8742.282744760892
71,,,,,96.0,0.10265155691465133,8766.75008873457
72,,,,,97.0,0.11585653935188356,8791.21743270825
73,,,,,98.0,0.129061521789116,8815.68477668193
74,,,,,99.0,0.14226650422634823,8840.15212065561
75,,,,,100.0,0.15547148666358068,8864.619464629288
76,,,,,101.0,0.1686764691008129,8889.086808602968
77,,,,,102.0,0.18188145153804536,8913.554152576646
78,,,,,103.0,0.19508643397527758,8938.021496550326
79,,,,,104.0,0.20829141641251003,8962.488840524005
80,,,,,105.0,0.22149639884974226,8986.956184497685
81,,,,,106.0,0.2347013812869747,9011.423528471363
82,,,,,107.0,0.24790636372420694,9035.890872445043
83,,,,,108.0,0.2611113461614394,9060.358216418721
84,,,,,109.0,0.2743163285986716,9084.8255603924
85,,,,,110.0,0.28752131103590406,9109.29290436608
86,,,,,111.0,0.3007262934731363,9133.76024833976
